id,agentURL,price,addr,daftURL,longitude,latitude
72,NULL,€750 Per week,"Clarendon St, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/dublin-2/clarendon-st-dublin-2-dublin-1883156/,-6.261446,53.341842
73,NULL,€750 Per week,"Grand Canal Square, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/dublin-2/grand-canal-square-dublin-2-dublin-1870763/,-6.238943,53.342877
74,NULL,"€2,300 Per month","Bloomfield Park Apartments, Morehampton Road, Donn, Donnybrook, Dublin 4",http://www.daft.ie/dublin/apartments-for-rent/donnybrook/bloomfield-park-apartments-morehampton-road-donn-donnybrook-dublin-1894582/,-6.243802,53.325338
75,https://www.daft.ie/dublin/estate-agents/dublin-2/kspmlimited/,"€1,700 Per month","Windmill Lane Apartments, Off City Quay, Dublin 2, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/dublin-2/windmill-lane-apartments-off-city-quay-dublin-2-dublin-2-dublin-1896204/,-6.244672,53.345284
76,NULL,€900 Per week,"Stephen St. Upper, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/dublin-2/stephen-st-upper-dublin-2-dublin-1896952/,-6.268643,53.340757
77,https://www.daft.ie/dublin/estate-agents/dublin-4/lisney_leeson_st/,"€4,000 Per month","Terenure Road West, Terenure, Dublin 6",http://www.daft.ie/dublin/houses-for-rent/terenure/terenure-road-west-terenure-dublin-1893293/,-6.291639,53.310551
78,https://www.daft.ie/dublin/estate-agents/dublin-4/lisney_leeson_st/,"€3,500 Per month","Hollybrook, Foxrock, Dublin 18",http://www.daft.ie/dublin/apartments-for-rent/foxrock/hollybrook-foxrock-dublin-1890248/,-6.181213,53.264104
79,https://www.daft.ie/dublin/estate-agents/glasnevin/oconnorpropertyman/,€650 Per week,"Bachelors Walk, Dublin 1",http://www.daft.ie/dublin/apartments-for-rent/dublin-1/bachelors-walk-dublin-1-dublin-1894603/,-6.263098,53.346747
80,NULL,"€2,200 Per month","22 Castleknock Crescent, Castleknock, Dublin 15",http://www.daft.ie/dublin/houses-for-rent/castleknock/22-castleknock-crescent-castleknock-dublin-1893018/,-6.374933,53.37609
81,NULL,"€2,250 Per month","6 Glenbourne Ave, Leopardstown, Dublin 18",http://www.daft.ie/dublin/houses-for-rent/leopardstown/6-glenbourne-ave-leopardstown-dublin-1890902/,-6.199492,53.260979
82,/agent.daft?id=10891&p=xpsttpts,"€2,200 Per month","Mobhi Court, Corporate Letting, Short Term, Drumcondra, Dublin 9",http://www.daft.ie/dublin/apartments-for-rent/drumcondra/mobhi-court-corporate-letting-short-term-drumcondra-dublin-1839601/,-6.266452,53.376872
83,https://www.daft.ie/dublin/estate-agents/harolds-cross/bellproperties/,"€3,750 Per month","Kingstown Mews, Park Lane, Sandycove, Co. Dublin",http://www.daft.ie/dublin/houses-for-rent/sandycove/kingstown-mews-park-lane-sandycove-dublin-1887487/,-6.129436,53.290829
84,https://www.daft.ie/dublin/estate-agents/harolds-cross/bellproperties/,"€3,000 Per month","North Great George Street, Dublin 1",http://www.daft.ie/dublin/apartments-for-rent/dublin-1/north-great-george-street-dublin-1-dublin-1887725/,-6.261498,53.355113
85,https://www.daft.ie/dublin/estate-agents/harolds-cross/bellproperties/,"€5,500 Per month","Bushy Park House, Terenure, Dublin 6W",http://www.daft.ie/dublin/houses-for-rent/terenure/bushy-park-house-terenure-dublin-1843546/,-6.294115,53.303018
86,https://www.daft.ie/dublin/estate-agents/harolds-cross/bellproperties/,"€5,250 Per month","Castlepark Road Dalkey, Co. Dublin, Dalkey, Co. Dublin",http://www.daft.ie/dublin/apartments-for-rent/dalkey/castlepark-road-dalkey-co-dublin-dalkey-dublin-1864023/,-6.112838,53.283408
87,https://www.daft.ie/dublin/estate-agents/harolds-cross/bellproperties/,"€5,500 Per month","Grace Park View Grace Park Road, Dublin 9, Whitehall, Dublin 9",http://www.daft.ie/dublin/houses-for-rent/whitehall/grace-park-view-grace-park-road-dublin-9-whitehall-dublin-1881478/,-6.244564,53.37178
88,NULL,€500 Per week,"149 Rathgar Road, Rathmines Dublin 6, Rathmines, Dublin 6",http://www.daft.ie/dublin/apartments-for-rent/rathmines/149-rathgar-road-rathmines-dublin-6-rathmines-dublin-1896898/,-6.27051,53.316946
89,https://www.daft.ie/dublin/estate-agents/skerries/dngmckennahealy/,"€1,500 Per month","The Sanderling, Barnagerragh Cove, Skerries, Co. Dublin",http://www.daft.ie/dublin/apartments-for-rent/skerries/the-sanderling-barnagerragh-cove-skerries-dublin-1897909/,-6.136262,53.584505
90,https://www.daft.ie/dublin/estate-agents/donnybrook/Charteredassets/,"€1,250 Per month","75 Dorset Street Upper, Dublin 1",http://www.daft.ie/dublin/studio-apartments-for-rent/dublin-1/75-dorset-street-upper-dublin-1-dublin-1894016/,-6.264369,53.357261
91,https://www.daft.ie/dublin/estate-agents/donnybrook/Charteredassets/,"€1,500 Per month","75 Dorset Street Upper, Dublin 1",http://www.daft.ie/dublin/apartments-for-rent/dublin-1/75-dorset-street-upper-dublin-1-dublin-1894029/,-6.264369,53.357261
92,https://www.daft.ie/dublin/estate-agents/dublin-2/kennedywilson/,"€2,800 Per month","Clancy Quay By Kennedy Wilson, Islandbridge, Dublin 8",http://www.daft.ie/dublin/apartments-for-rent/islandbridge/clancy-quay-by-kennedy-wilson-islandbridge-dublin-1890172/,-6.308207,53.346226
93,https://www.daft.ie/dublin/estate-agents/dublin-2/kennedywilson/,"€3,150 Per month","Clancy Quay Phase Two By Kennedy Wilson, Islandbridge, Dublin 8",http://www.daft.ie/dublin/houses-for-rent/islandbridge/clancy-quay-phase-two-by-kennedy-wilson-islandbridge-dublin-1891666/,-6.306695,53.346468
94,https://www.daft.ie/dublin/estate-agents/dublin-2/kennedywilson/,"€2,700 Per month","Sandford Lodge By Kennedy Wilson, Ranelagh, Dublin 6",http://www.daft.ie/dublin/apartments-for-rent/ranelagh/sandford-lodge-by-kennedy-wilson-ranelagh-dublin-1833322/,-6.247959,53.320143
95,NULL,€550 Per week,"Jervis Place Apartments, Dublin 1",http://www.daft.ie/dublin/apartments-for-rent/dublin-1/jervis-place-apartments-dublin-1-dublin-1891736/,-6.267182,53.347407
96,NULL,€650 Per week,"Effra Road, Ranelagh, Dublin 6",http://www.daft.ie/dublin/apartments-for-rent/ranelagh/effra-road-ranelagh-dublin-1891749/,-6.274782,53.320858
97,NULL,"€1,650 Per month","Westend Village, Blanchardstown, Dublin 15",http://www.daft.ie/dublin/apartments-for-rent/blanchardstown/westend-village-blanchardstown-dublin-1895073/,-6.390668,53.388604
98,https://www.daft.ie/dublin/estate-agents/drumcondra/movehome_santry/,"€1,950 Per month","214 The Distillery, Distillery Road, Drumcondra, Dublin 9",http://www.daft.ie/dublin/apartments-for-rent/drumcondra/214-the-distillery-distillery-road-drumcondra-dublin-1897858/,-6.248735,53.36377
99,https://www.daft.ie/dublin/estate-agents/dublin-2/borgmanearls/,"€2,600 Per month","The Alders, Dunstaffnage Hall, Stillorgan, Co. Dublin",http://www.daft.ie/dublin/apartments-for-rent/stillorgan/the-alders-dunstaffnage-hall-stillorgan-dublin-1895617/,-6.196,53.283509
100,https://www.daft.ie/dublin/estate-agents/dublin-2/borgmanearls/,"€7,000 Per month","Shelbourne Plaza, Ringsend Road, Dublin 4",http://www.daft.ie/dublin/apartments-for-rent/dublin-4/shelbourne-plaza-ringsend-road-dublin-4-dublin-1896013/,-6.232379,53.341774
101,https://www.daft.ie/dublin/estate-agents/dublin-2/borgmanearls/,"€2,600 Per month","Collinswood, Collins Avenue, Whitehall, Dublin 9",http://www.daft.ie/dublin/houses-for-rent/whitehall/collinswood-collins-avenue-whitehall-dublin-1896334/,-6.234051,53.382064
102,NULL,"€1,100 Per month","156, Ballinclea Heights, Killiney., Killiney, Co. Dublin",http://www.daft.ie/dublin/apartments-for-rent/killiney/156-ballinclea-heights-killiney-killiney-dublin-1896307/,-6.118791,53.26944
103,https://www.daft.ie/dublin/estate-agents/dublin-7/bpmestates/,"€2,250 Per month","Nephin Road, Navan Road (D7), Dublin 7",http://www.daft.ie/dublin/houses-for-rent/navan-road-d7/nephin-road-navan-road-d7-dublin-1895409/,-6.308308,53.364864
104,https://www.daft.ie/dublin/estate-agents/dublin-2/Adoor/,"€3,950 Per month","Warrington Place, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/dublin-2/warrington-place-dublin-2-dublin-1892240/,-6.242986,53.336174
105,NULL,"€2,200 Per month","Apartment 42, Block A, Bellevue Apartments, Islandbridge, Dublin 8",http://www.daft.ie/dublin/apartments-for-rent/islandbridge/apartment-42-block-a-bellevue-apartments-islandbridge-dublin-1896493/,-6.302529,53.348092
106,https://www.daft.ie/dublin/estate-agents/harolds-cross/remaxpropertyadvisors/,"€1,600 Per month","The Courtyard, Beechpark, Clonsilla, Dublin 15",http://www.daft.ie/dublin/apartments-for-rent/clonsilla/the-courtyard-beechpark-clonsilla-dublin-1883652/,-6.43065,53.382291
107,https://www.daft.ie/dublin/estate-agents/swords/fingalletting/,"€1,985 Per month","Fishermans Green, Malahide, Co. Dublin",http://www.daft.ie/dublin/apartments-for-rent/malahide/fishermans-green-malahide-dublin-1875668/,-6.154958,53.452615
