id,agentURL,price,addr,daftURL,longitude,latitude,overviews,city_center_distance,dwelling_type
1060,https://www.daft.ie/dublin/estate-agents/sandyford/morrisonestates/,"€2,500 Per month","Killiney Court Apartments, Station Road, Killiney, Co. Dublin",http://www.daft.ie/dublin/apartments-for-rent/killiney/killiney-court-apartments-station-road-killiney-dublin-1919778/,-6.114858,53.257179,"Unfurnished, 2 Bedrooms (2 double), 2 Bathrooms",13.9,"Apartment to Rent"
1061,https://www.daft.ie/dublin/estate-agents/sandyford/morrisonestates/,"€1,900 Per month","Galtrim Grange, Malahide, Co. Dublin",http://www.daft.ie/dublin/apartments-for-rent/malahide/galtrim-grange-malahide-dublin-1929889/,-6.154651,53.437605,"Furnished, 2 Bedrooms (2 double), 1 Bathroom",12.2,"Apartment to Rent"
1062,https://www.daft.ie/dublin/estate-agents/sandyford/morrisonestates/,"€2,000 Per month","Glencairn Thicket, Leopardstown, Dublin 18",http://www.daft.ie/dublin/houses-for-rent/leopardstown/glencairn-thicket-leopardstown-dublin-1929320/,-6.201336,53.262412,"Furnished or unfurnished, 3 Bedrooms (1 single, 2 double), 1 Bathroom",10.2,"House to Rent"
1063,https://www.daft.ie/dublin/estate-agents/sandyford/morrisonestates/,"€3,500 Per month","Brickfield Way, Honeypark, Monkstown, Co. Dublin",http://www.daft.ie/dublin/houses-for-rent/monkstown/brickfield-way-honeypark-monkstown-dublin-1929310/,-6.147951,53.277882,"Furnished or unfurnished, 4 Bedrooms (4 double), 3 Bathrooms",10.7,"House to Rent"
1064,https://www.daft.ie/dublin/estate-agents/sandyford/morrisonestates/,"€2,500 Per month","Wyckham Point, Dundrum, Dublin 14",http://www.daft.ie/dublin/apartments-for-rent/dundrum/wyckham-point-dundrum-dublin-1920766/,-6.241736,53.281124,"Furnished, 2 Bedrooms (2 double), 2 Bathrooms",7.4,"Apartment to Rent"
1065,NULL,"€2,200 Per month","Ushers Quay, Dublin 8",http://www.daft.ie/dublin/apartments-for-rent/dublin-8/ushers-quay-dublin-8-dublin-1930381/,-6.279450,53.345381,"Furnished, 2 Bedrooms (1 single, 1 double), 2 Bathrooms",1.4,"Apartment to Rent"
1066,https://www.daft.ie/dublin/estate-agents/swords/fingalletting/,"€1,400 Per month","Seafield Court, Rush, Co. Dublin",http://www.daft.ie/dublin/houses-for-rent/rush/seafield-court-rush-dublin-1930383/,-6.084983,53.522367,"Furnished, 2 Bedrooms (2 double), 2 Bathrooms",22.7,"House to Rent"
1067,NULL,"€1,700 Per month","82 Temple Lawns, Northwood, Santry, Dublin 9",http://www.daft.ie/dublin/apartments-for-rent/santry/82-temple-lawns-northwood-santry-dublin-1930441/,-6.255082,53.368920,"Furnished, 2 Bedrooms (2 double), 2 Bathrooms",2.4,"Apartment to Rent"
1068,NULL,"€1,510 Per month","224 Bachelors Walk, Temple Bar, Dublin 2",http://www.daft.ie/dublin/apartments-for-rent/temple-bar/224-bachelors-walk-temple-bar-dublin-1930364/,-6.262690,53.347333,"Furnished, 1 Bedroom (1 double), 1 Bathroom",0.2,"Apartment to Rent"
1069,https://www.daft.ie/dublin/estate-agents/dundrum/vincentfinnegan/,"€7,500 Per month","Saval Park Road, Dalkey, Co. Dublin",http://www.daft.ie/dublin/houses-for-rent/dalkey/saval-park-road-dalkey-dublin-1923095/,-6.114840,53.272299,"Furnished or unfurnished, 6 Bedrooms (6 twin), 7 Bathrooms",12.7,"House to Rent"
1070,https://www.daft.ie/dublin/estate-agents/ranelagh/galvinproperty/,"€3,500 Per month","Glenvar, Clonfadda Wood, Mount Merrion Avenue, Blackrock, Co. Dublin",http://www.daft.ie/dublin/apartments-for-rent/blackrock/glenvar-clonfadda-wood-mount-merrion-avenue-blackrock-dublin-1926195/,-6.195835,53.299899,"Furnished, 3 Bedrooms (3 double), 2 Bathrooms",6.7,"Apartment to Rent"
1071,https://www.daft.ie/dublin/estate-agents/ranelagh/galvinproperty/,"€4,695 Per month","Musselbank, Strand Road, Sutton, Dublin 13",http://www.daft.ie/dublin/houses-for-rent/sutton/musselbank-strand-road-sutton-dublin-1914308/,-6.102328,53.378747,"Unfurnished, 4 Bedrooms (1 single, 3 double), 3 Bathrooms",11,"House to Rent"
1072,https://www.daft.ie/dublin/estate-agents/ranelagh/galvinproperty/,"€4,050 Per month","The Hibernian, The Gasworks, Dublin 4",http://www.daft.ie/dublin/apartments-for-rent/dublin-4/the-hibernian-the-gasworks-dublin-4-dublin-1922719/,-6.235818,53.338915,"Furnished, 2 Bedrooms (2 double), 2 Bathrooms",1.8,"Apartment to Rent"
1073,https://www.daft.ie/dublin/estate-agents/ranelagh/galvinproperty/,"€3,450 Per month","The Hibernian, The Gasworks, Ringsend, Dublin 4",http://www.daft.ie/dublin/apartments-for-rent/ringsend/the-hibernian-the-gasworks-ringsend-dublin-1534323/,-6.235770,53.338923,"Furnished, 1 Bedroom (1 double), 1 Bathroom",1.8,"Apartment to Rent"
1074,https://www.daft.ie/dublin/estate-agents/ranelagh/galvinproperty/,"€4,000 Per month","Spencer Dock Apartments, Dublin 1",http://www.daft.ie/dublin/apartments-for-rent/dublin-1/spencer-dock-apartments-dublin-1-dublin-1722940/,-6.239011,53.349347,"Furnished, 2 Bedrooms (2 double), 2 Bathrooms",1.4,"Apartment to Rent"
1075,https://www.daft.ie/dublin/estate-agents/ranelagh/galvinproperty/,"€1,975 Per month","The Hibernian, The Gasworks, Grand Canal Dock, Dublin 4",http://www.daft.ie/dublin/apartments-for-rent/grand-canal-dock/the-hibernian-the-gasworks-grand-canal-dock-dublin-1928973/,-6.235751,53.339116,"Furnished, 1 Bedroom (1 single), 1 Bathroom",1.8,"Apartment to Rent"
1076,https://www.daft.ie/dublin/estate-agents/ranelagh/galvinproperty/,"€4,200 Per month","The Hibernian, The Gasworks, Ringsend, Dublin 4",http://www.daft.ie/dublin/apartments-for-rent/ringsend/the-hibernian-the-gasworks-ringsend-dublin-1699544/,-6.235770,53.338923,"Furnished, 2 Bedrooms (2 double), 2 Bathrooms",1.8,"Apartment to Rent"
