time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-29T04:43:17.338Z,35.3598,27.694,29.4,5,mb,,42,0.473,1,us,us70003dri,2019-04-29T10:08:33.770Z,"46km ESE of Karpathos, Greece",earthquake,5.1,4.8,0.034,268,reviewed,us,us
2019-04-29T03:16:36.435Z,39.801,-117.4407,3.1,3.1,ml,7,81.33,0.718,0.1604,nn,nn00683481,2019-04-30T02:04:30.012Z,"46km NW of Austin, Nevada",earthquake,,3,0.26,3,reviewed,nn,nn
2019-04-29T02:48:51.800Z,43.1851,-29.1045,10,5.4,mww,,61,6.063,0.88,us,us70003dpt,2019-04-30T02:50:58.893Z,"Northern Mid-Atlantic Ridge",earthquake,8.7,1.9,0.073,18,reviewed,us,us
2019-04-29T02:44:20.895Z,6.85,-72.9785,148.22,4.1,mb,,58,0.956,0.82,us,us70003dpn,2019-04-29T04:02:33.040Z,"13km WSW of Guaca, Colombia",earthquake,4.7,6.8,0.077,46,reviewed,us,us
2019-04-29T02:31:07.441Z,54.1923,-161.4916,35,3.6,mb,,206,1.28,0.96,us,us70003dpk,2019-04-29T18:34:23.653Z,"136km SE of Cold Bay, Alaska",earthquake,3.3,2,0.112,20,reviewed,us,us
2019-04-29T02:21:53.304Z,12.3895,-88.1922,35,4.4,mb,,193,1.183,1.06,us,us70003dpc,2019-04-29T03:20:49.040Z,"89km WSW of Jiquilillo, Nicaragua",earthquake,7.7,2,0.074,52,reviewed,us,us
2019-04-29T00:37:08.011Z,-17.2615,-174.4209,183.23,4.3,mb,,70,4.194,0.56,us,us70003dmv,2019-04-29T01:01:43.040Z,"160km NNW of Neiafu, Tonga",earthquake,8.3,6.8,0.055,92,reviewed,us,us
2019-04-29T00:23:18.001Z,39.2124,73.6416,35,4.8,mb,,39,1.449,1.22,us,us70003dmi,2019-04-29T00:50:24.040Z,"24km NNE of Karakul, Tajikistan",earthquake,6.3,2,0.046,146,reviewed,us,us
2019-04-29T00:13:14.280Z,33.315,-116.4198333,8.21,3.31,ml,134,19,0.04673,0.21,ci,ci38337167,2019-04-29T23:25:32.685Z,"8km NNW of Borrego Springs, CA",earthquake,0.1,0.4,0.158,280,reviewed,ci,ci
2019-04-28T23:42:56.637Z,-9.3506,116.0563,81.05,4.2,mb,,76,2.074,1.23,us,us70003dn7,2019-04-29T10:57:39.075Z,"56km SSW of Kute, Indonesia",earthquake,7.7,9.6,0.176,9,reviewed,us,us
2019-04-28T23:31:25.290Z,3.6208,126.7625,44.66,4.6,mb,,172,2.893,0.66,us,us70003dlw,2019-04-28T23:47:02.040Z,"244km SE of Sarangani, Philippines",earthquake,9.9,12,0.182,9,reviewed,us,us
2019-04-28T21:56:49.435Z,39.7909,-117.4778,3.8,4.1,ml,15,118.16,0.69,0.2006,nn,nn00683467,2019-04-29T21:57:47.180Z,"48km NW of Austin, Nevada",earthquake,,4.1,0.19,9,reviewed,nn,nn
2019-04-28T21:06:23.495Z,-20.1899,169.7053,159.98,4.7,mb,,132,3.2,0.89,us,us70003diw,2019-04-28T21:28:08.040Z,"84km SSE of Isangel, Vanuatu",earthquake,14.5,9.4,0.089,38,reviewed,us,us
2019-04-28T20:13:45.047Z,39.8022,-117.4714,2.8,3.3,ml,12,118.79,0.701,0.2369,nn,nn00683456,2019-04-29T02:05:02.998Z,"48km NW of Austin, Nevada",earthquake,,4.6,0.11,7,reviewed,nn,nn
2019-04-28T17:48:23.975Z,9.302,-63.0364,49.23,5,mb,,134,3.123,0.69,us,us70003dgt,2019-04-28T22:27:20.661Z,"51km SSE of Maturin, Venezuela",earthquake,3.5,9.9,0.042,182,reviewed,us,us
2019-04-28T17:33:34.575Z,52.2139,159.3355,72.28,4.5,mb,,88,0.912,1.02,us,us70003dgv,2019-04-28T20:06:33.040Z,"101km SE of Vilyuchinsk, Russia",earthquake,10.8,7.5,0.1,29,reviewed,us,us
2019-04-28T17:10:40.277Z,39.7957,-117.4572,4.8,3.5,ml,7,70.61,0.705,0.1047,nn,nn00683441,2019-04-29T17:11:29.514Z,"47km NW of Austin, Nevada",earthquake,,9.2,0.32,5,reviewed,nn,nn
2019-04-28T17:08:53.010Z,18.4701,-66.4913,95,2.77,md,4,234,0.2902,0.14,pr,pr2019118009,2019-04-28T19:57:06.736Z,"0km NNW of Tierras Nuevas Poniente, Puerto Rico",earthquake,2.97,1.17,0.03,2,reviewed,pr,pr
2019-04-28T17:03:16.906Z,39.7969,-117.4942,4,4,ml,23,73.23,0.685,0.1711,nn,nn00683435,2019-04-29T17:04:12.362Z,"49km NW of Austin, Nevada",earthquake,,3.2,0.25,17,reviewed,nn,nn
2019-04-28T16:37:00.200Z,17.8921,-68.2083,62,2.86,md,6,261,0.6454,0.31,pr,pr2019118008,2019-04-28T19:56:25.640Z,"68km SE of Boca de Yuma, Dominican Republic",earthquake,3.48,5.34,0.2,4,reviewed,pr,pr
2019-04-28T16:30:40.674Z,-14.6105,167.3009,151,4.8,mb,,67,7.465,0.81,us,us70003dg7,2019-04-28T17:05:57.040Z,"55km NNE of Port-Olry, Vanuatu",earthquake,9.5,7.2,0.046,149,reviewed,us,us
2019-04-28T15:50:13.073Z,55.5151,-134.8639,12.9,3.5,ml,,,,0.73,ak,ak0195fen77f,2019-04-28T23:35:57.594Z,"98km WNW of Craig, Alaska",earthquake,,2.4,,,reviewed,ak,ak
2019-04-28T14:22:48.790Z,-30.0583,-71.6683,18.87,4,ml,,196,0.398,0.73,us,us70003dfa,2019-04-28T14:54:41.040Z,"33km WSW of Coquimbo, Chile",earthquake,4.8,12.8,0.047,60,reviewed,us,us
2019-04-28T14:15:56.434Z,-19.1433,167.757,10,5,mb,,126,3.162,0.95,us,us70003df8,2019-04-28T16:33:37.040Z,"164km WNW of Isangel, Vanuatu",earthquake,5.5,1.9,0.055,104,reviewed,us,us
2019-04-28T12:46:16.015Z,-15.6616,-75.1641,38.11,4.4,mb,,170,3.999,1.04,us,us70003ded,2019-04-28T18:50:13.935Z,"50km S of Minas de Marcona, Peru",earthquake,10.6,11.5,0.139,15,reviewed,us,us
2019-04-28T12:12:42.630Z,39.8931667,-120.0496667,4.58,2.62,md,23,155,0.2934,0.22,nc,nc73173370,2019-04-30T04:32:03.012Z,"13km NE of Chilcoot-Vinton, CA",earthquake,0.53,1.56,0.139,36,reviewed,nc,nc
2019-04-28T12:03:00.631Z,-32.1983,-72.0803,22.86,4.6,mwr,,87,0.754,0.73,us,us70003ddw,2019-04-29T22:47:29.074Z,"84km WNW of La Ligua, Chile",earthquake,5.6,4.7,0.034,85,reviewed,us,us
2019-04-28T11:53:06.380Z,18.823,-68.568,155,3.14,md,21,160,0.3611,0.61,pr,pr2019118005,2019-04-28T13:03:25.040Z,"4km WNW of Otra Banda, Dominican Republic",earthquake,6.59,2.57,0.46,19,reviewed,pr,pr
2019-04-28T10:34:26.046Z,-6.2243,142.225,10,5.1,mb,,44,5.821,0.86,us,us70003dcy,2019-04-28T10:52:53.040Z,"104km E of Kiunga, Papua New Guinea",earthquake,8.7,1.9,0.078,53,reviewed,us,us
